year,state,month,number,day
2002,Amapa,2,2,1
2003,Amapa,2,0,1
2004,Amapa,2,2,1
2005,Amapa,2,1,1
2006,Amapa,2,2,1
2007,Amapa,2,0,1
2008,Amapa,2,0,1
2009,Amapa,2,0,1
2010,Amapa,2,0,1
2011,Amapa,2,3,1
2012,Amapa,2,5,1
2013,Amapa,2,0,1
2014,Amapa,2,2,1
2015,Amapa,2,1,1
2016,Amapa,2,1,1
2017,Amapa,2,0,1
1998,Amapa,3,0,1
1999,Amapa,3,2,1
2000,Amapa,3,0,1
2001,Amapa,3,0,1
2002,Amapa,3,0,1
2003,Amapa,3,1,1
2004,Amapa,3,0,1
2005,Amapa,3,0,1
2006,Amapa,3,0,1
2007,Amapa,3,0,1
2008,Amapa,3,1,1
2009,Amapa,3,1,1
2010,Amapa,3,2,1
2011,Amapa,3,0,1
2012,Amapa,3,1,1
2013,Amapa,3,0,1
2014,Amapa,3,1,1
2015,Amapa,3,2,1
2016,Amapa,3,5,1
2017,Amapa,3,0,1
1998,Amapa,4,0,1
1999,Amapa,4,0,1
2000,Amapa,4,0,1
2001,Amapa,4,0,1
2002,Amapa,4,0,1
2003,Amapa,4,2,1
2004,Amapa,4,0,1
2005,Amapa,4,0,1
2006,Amapa,4,0,1
2007,Amapa,4,0,1
2008,Amapa,4,2,1
2009,Amapa,4,0,1
2010,Amapa,4,2,1
2011,Amapa,4,0,1
2012,Amapa,4,2,1
2013,Amapa,4,2,1
2014,Amapa,4,0,1
2015,Amapa,4,0,1
2016,Amapa,4,0,1
2017,Amapa,4,3,1
1998,Amapa,5,0,1
1999,Amapa,5,0,1
2000,Amapa,5,0,1
2001,Amapa,5,0,1
2002,Amapa,5,3,1
2003,Amapa,5,0,1
2004,Amapa,5,0,1
2005,Amapa,5,0,1
2006,Amapa,5,0,1
2007,Amapa,5,0,1
2008,Amapa,5,0,1
2009,Amapa,5,2,1
2010,Amapa,5,2,1
2011,Amapa,5,2,1
2012,Amapa,5,2,1
2013,Amapa,5,0,1
2014,Amapa,5,0,1
2015,Amapa,5,0,1
2016,Amapa,5,1,1
2017,Amapa,5,1,1
1998,Amapa,6,0,1
1999,Amapa,6,2,1
2000,Amapa,6,0,1
2001,Amapa,6,0,1
2002,Amapa,6,0,1
2003,Amapa,6,0,1
2004,Amapa,6,5,1
2005,Amapa,6,2,1
2006,Amapa,6,0,1
2007,Amapa,6,0,1
2008,Amapa,6,0,1
2009,Amapa,6,1,1
2010,Amapa,6,0,1
2011,Amapa,6,0,1
2012,Amapa,6,7,1
2013,Amapa,6,1,1
2014,Amapa,6,0,1
2015,Amapa,6,3,1
2016,Amapa,6,2,1
2017,Amapa,6,2,1
1998,Amapa,7,0,1
1999,Amapa,7,0,1
2000,Amapa,7,0,1
2001,Amapa,7,1,1
2002,Amapa,7,1,1
2003,Amapa,7,0,1
2004,Amapa,7,2,1
2005,Amapa,7,0,1
2006,Amapa,7,0,1
2007,Amapa,7,0,1
2008,Amapa,7,0,1
2009,Amapa,7,4,1
2010,Amapa,7,2,1
2011,Amapa,7,5,1
2012,Amapa,7,3,1
2013,Amapa,7,1,1
2014,Amapa,7,4,1
2015,Amapa,7,5,1
2016,Amapa,7,1,1
2017,Amapa,7,3,1
1998,Amapa,8,1,1
1999,Amapa,8,0,1
2000,Amapa,8,3,1
2001,Amapa,8,12,1
2002,Amapa,8,18,1
2003,Amapa,8,14,1
2004,Amapa,8,9,1
2005,Amapa,8,4,1
2006,Amapa,8,11,1
2007,Amapa,8,5,1
2008,Amapa,8,4,1
2009,Amapa,8,20,1
2010,Amapa,8,1,1
2011,Amapa,8,16,1
2012,Amapa,8,19,1
2013,Amapa,8,9,1
2014,Amapa,8,18,1
2015,Amapa,8,40,1
2016,Amapa,8,37,1
