state,month,incidents,year,region,Amazonia,Cerrado,Caatinga,Pantanal,Mata Atlantica,Pampa,latitude_mean,longitude_mean,la nina,el nino
minas gerais,9,1860,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,10,840,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,11,86,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,3,107,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,12,92,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
amazonas,1,46,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,2,93,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,4,14,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,5,19,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,6,123,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,7,1346,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,8,2589,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,9,4928,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,10,1725,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,11,472,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,3,54,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
amazonas,12,37,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,-6.533850602830686,-63.311036431941446,0,1
roraima,1,480,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,2,558,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,4,191,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,5,10,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,6,5,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,7,4,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,8,7,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,9,17,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,10,141,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,11,120,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,3,727,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
roraima,12,123,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,2.349729332773815,-60.76776710029376,0,1
rio grande do sul,1,45,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,2,72,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,4,86,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,5,108,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,6,62,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,7,78,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,8,707,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,9,222,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,10,69,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,11,47,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,3,74,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
rio grande do sul,12,45,2018,sul,0.0,0.0,0.0,0.0,1.0,1.0,-29.51680495356034,-52.194102167182585,0,1
pernambuco,1,35,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,2,7,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,4,5,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,5,2,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,6,13,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,7,6,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,8,35,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,9,95,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,10,215,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,11,186,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,3,8,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
pernambuco,12,115,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-8.036955678670354,-37.487860110803354,0,1
rondonia,1,15,2018,norte,1.0,1.0,0.0,0.0,0.0,0.0,-10.095786738176525,-63.48883959044361,0,1
rondonia,2,7,2018,norte,1.0,1.0,0.0,0.0,0.0,0.0,-10.095786738176525,-63.48883959044361,0,1
